1;Se emplea para designar el conjunto de huesos de la cabeza, pero por conveniencia dividimos los huesos de la cabeza en huesos de la cabeza en huesos puramente craneales y huesos de la cara o faciales. Se compone por 34 huesos planos. Las estructuras óseas, como en todos los animales superiores, son la protección del encéfalo, la parte más delicada y más sensible del organismo.;Los huesos del cráneo encierran en el cerebro las membranas y vasos y los órganos esenciales del oído, contribuyen junto con los huesos de la cara a la formación de cavidades orbitales y nasales en las que se hallan los órganos periféricos de la vista y el olfato, está compuesto por 34 huesos planos. Las estructuras óseas craneales, como en todos los animales superiores, son la protección del encéfalo, la parte más delicada y más sensible del organismo.  Se emplea para designar el conjunto de huesos de la cabeza, pero por conveniencia dividimos los huesos de la cabeza en huesos de la cabeza en huesos puramente craneales y huesos de la cara o faciales.  Los craneales contienen el cerebro con sus meninges, las cavidades del oído, y parte de la cavidad ocular, y con los de la cara conforman las cavidades nasal y bucal, donde se localizan los órganos periféricos del olfato y el gusto.   Solo dos huesos de la cabeza forman articulaciones móviles y son: Hioides y mandíbula que se articulan ambos con el hueso temporal.;1234;03/04/2016;04/04/2016
2;Formada por los huesos frontales, lagrimales, cigomáticos, temporales, esfenoides y maxilar. Este hueso frontal en una gran proporción forma el techo y porción de la pared medial. El foramen supra orbital está situado en la porción media de la apófisis cigomática del hueso frontal. ;La órbita de los équidos está formada por los huesos frontales, lagrimales, cigomáticos, temporales, esfenoides y maxilar. La maxilar forma la parte ventral y rostral del límite orbital, pero no representa una parte activa en la formación de la órbita, ósea, caudal al borde orbital. El hueso frontal en una gran proporción forma el techo y porción de la pared medial de la órbita. La apófisis cigomática del hueso frontal forma una porción del borde orbital lateral. El foramen supra orbital está situado en la porción media de la apófisis cigomática del hueso frontal. La placa interna del hueso forma el límite interno del seno frontal, que contribuye con la formación de la parte dorsal y rostral de la órbita.;1235;03/04/2016;04/04/2016
3;Un caballo adulto tiene 12 incisivos, adaptados para morder y arrancar la hierba y demás vegetación, en la parte frontal de la boca. Tienen 24 dientes adaptados a masticar, los premolares y molares, en la parte posterior de la boca. Los machos adultos tienen cuatro dientes adicionales justo tras los incisivos denominados «colmillos» y que no les saldrán hasta que tengan 4 o 5 años de edad.;Los caballos han adaptado sus dientes para pastar hierba. Los caballos tienen un mínimo de 36 dientes (12 incisivos y 24 molares). Un caballo adulto tiene 12 incisivos, adaptados para morder y arrancar la hierba y demás vegetación, en la parte frontal de la boca. Tienen 24 dientes adaptados a masticar, los premolares y molares, en la parte posterior de la boca. Los machos adultos tienen cuatro dientes adicionales justo tras los incisivos denominados «colmillos» y que no les saldrán hasta que tengan 4 o 5 años de edad. Algunos caballos, tanto machos como hembras pueden desarrollar de uno a cuatro dientes vestigiales muy pequeños delante de los molares, que generalmente se les quitan porque pueden interferir con el bocado. Este espacio entre incisivos y premolares está vacío y es donde se coloca el bocado del arreo del caballo.;1236;03/04/2016;04/04/2016
4;Es el hueso más Grande de la cara del caballo, se articula con el hueso temporal y contiene los alvéolos de los incisivos mandibulares, caninos, y los dientes de lobo (si están presentes).;Es el hueso más grande de la cara del equino, se compone de dos hemimandíbulas que se fusionan en la sínfisis a los 2 - 3 meses de edad. La mandíbula se articula con el hueso temporal en la ATM y contiene los alvéolos de los incisivos mandibulares, caninos, y los dientes de lobo (si es que están presentes). Algunas razas, especialmente los descendientes del caballo árabe (que a su vez son descendientes de Equus Cracoviensis), tienen mandíbulas y maxilares poco profundas y proporcionalmente coronas de reserva cortas, mientras que la mayoría de otras razas, por ejemplo, derivados de E.  muniensis (Pony de montaña) o E. mosbachensis y los tipos de pony ingleses de raza (como ponis Exmoor) tienen alvéolos de reserva para las coronas profundos y largos.;1237;03/04/2016;04/04/2016
5;Es la primera vértebra cervical, Carece de apofisis espinosas y de cuerpo, tiene forma de un anillo prolongado transversalmente por las apofisis transversas.;Es la primera vértebra cervical, Carece de apofisis espinosas y de cuerpo, tiene forma de un anillo prolongado transversalmente por las apofisis transversas o alas del atlas las cuales presentan un agujero conjugado, uno alar externo y un agujero intertransversario.;1238;03/04/2016;04/04/2016
6;Tambien conocido como epistrofeo, es la más larga de las vértebras cervicales, en lugar de cabeza articular presenta una apofisis (apofisis odontoide) espinosa, ancha, fuerte y bífida.;El hueso axis (llamado así por la palabra latina axis que significa eje) es la segunda vértebra cervical (C2). El axis se encuentra debajo del atlas y encima de la vértebra cervical C3, con los que se articula. Las vértebras cervicales son las menos gruesas y las de mayor movilidad. La primera cervical, el atlas, es una vértebra incompleta, y la segunda, el axis, permite la rotación lateral del cuello. Es la más larga de las vértebras cervicales, en lugar de cabeza articular presenta una apofisis (apofisis odontoide) espinosa, ancha, fuerte y bífida.;1239;03/04/2016;04/04/2016
7;Se caracterizan por presentar apófisis transversas dobles. Presentan un agujero transverso que entra en la formación del canal transverso.;Las vértebras cervicales son las que se sitúan en el cuello permitiendo su movilidad, entre el cráneo con el cual soporta su peso y las vértebras torácicas. Se caracterizan por presentar apófisis transversas dobles. Presentan un agujero transverso que entra en la formación del canal transverso.;1240;03/04/2016;04/04/2016
8;son las que se sitúan en el cuello permitiendo su movilidad, entre el cráneo con el cual soporta su peso y las vértebras torácicas.;Las vértebras cervicales son las que se sitúan en el cuello permitiendo su movilidad, entre el cráneo con el cual soporta su peso y las vértebras torácicas. Se caracterizan por presentar apófisis espinosa larga, y también presentan superficies articulares para las costillas.;1241;03/04/2016;04/04/2016
9;son los segmentos más macizos de la columna vertebral y se caracterizan por presentar apófisis transversas amplias o anchas y largas.;Las vértebras lumbares (vertebrae lumbales) son los segmentos más macizos de la columna vertebral, tanto más voluminosas son en cuanto más abajo esté situada en la columna lumbar. Se caracterizan por presentar apófisis transversas amplias o anchas y largas.;1242;03/04/2016;04/04/2016
10;Está formado por la unión de vertebras. Se sitúa debajo de la columna lumbar y Se caracterizan porque están fusionadas formando un solo hueso llamado el sacro.;Está formado por la unión de las vértebras sacras. Se sitúa debajo de la columna lumbar y forma con ella un ángulo obtuso, dirigido hacia delante (promontorio). Se caracterizan porque están fusionadas formando un solo hueso llamado el sacro.;1243;03/04/2016;04/04/2016
